Customer_ID,Recency,Frequency,Monetary_Value,Std_Deviation,R_Score,F_Score,M_Score,S_Score,RFMS_Score,Default_Proxy
CustomerId_1,2232,1,-10000.0,0.0,1,1,1,4,7,1
CustomerId_10,2232,1,-10000.0,0.0,1,1,1,4,7,1
CustomerId_1001,2237,5,4000.0,6558.963332722634,1,2,3,2,8,1
CustomerId_1002,2174,11,384.09090909090907,560.4989660196449,2,3,1,3,9,0
CustomerId_1003,2160,6,3333.3333333333335,6030.478145774734,3,2,3,2,10,0
CustomerId_1004,2201,1,2000.0,0.0,2,1,2,4,9,0
CustomerId_1005,2195,9,5422.222222222223,5983.6815126178335,2,3,4,2,11,0
CustomerId_1006,2212,1,1000.0,0.0,1,1,1,4,7,1
CustomerId_1007,2229,1,28000.0,0.0,1,1,4,4,10,0
CustomerId_1008,2214,2,10000.0,0.0,1,1,4,4,10,0
CustomerId_1009,2175,1,500.0,0.0,2,1,1,4,8,1
CustomerId_1010,2190,7,3762.1428571428573,4971.798816946486,2,2,3,2,9,0
CustomerId_1012,2153,74,1687.918918918919,3441.4863138083697,4,4,2,2,12,0
CustomerId_1014,2198,8,95485.0,119332.84340149493,2,3,4,1,10,0
CustomerId_1016,2153,5,4000.0,6745.368781616021,4,2,3,2,11,0
CustomerId_1020,2174,203,1439.384236453202,2500.4482251946347,2,4,2,3,11,0
CustomerId_1021,2226,1,5000.0,0.0,1,1,4,4,10,0
CustomerId_1022,2183,1,7000.0,0.0,2,1,4,4,11,0
CustomerId_1025,2160,16,1075.0,1803.6536992079898,3,3,2,3,11,0
CustomerId_1027,2149,14,1912.142857142857,3484.2705418482087,4,3,2,2,11,0
CustomerId_1028,2173,1,500.0,0.0,3,1,1,4,9,0
CustomerId_1029,2156,9,5666.666666666667,8692.669325356856,3,3,4,1,11,0
CustomerId_1030,2178,8,293.75,713.8614811612364,2,3,1,3,9,0
CustomerId_1031,2163,50,2136.776,4615.395748241059,3,4,2,2,11,0
CustomerId_1032,2181,2,1000.0,0.0,2,1,1,4,8,1
CustomerId_1033,2214,2,475.0,742.4621202458749,1,1,1,3,6,1
CustomerId_1034,2157,16,2531.75,7896.613345816885,3,3,2,1,9,0
CustomerId_1036,2238,3,-16.666666666666668,1000.4165798972613,1,2,1,3,7,1
CustomerId_1038,2160,5,3800.0,6685.805860178712,3,2,3,2,10,0
CustomerId_1039,2160,30,8296.5,10395.940284387541,3,4,4,1,12,0
CustomerId_1040,2185,1,50000.0,0.0,2,1,4,4,11,0
CustomerId_1043,2195,6,2333.3333333333335,6976.14984548545,2,2,2,1,7,1
CustomerId_1044,2196,16,1365.53125,2064.1874064527988,2,3,2,3,10,0
CustomerId_1048,2190,1,1000.0,0.0,2,1,1,4,8,1
CustomerId_1050,2202,1,5000.0,0.0,2,1,4,4,11,0
CustomerId_1052,2171,7,8128.571428571428,18504.47822246589,3,2,4,1,10,0
CustomerId_1053,2237,7,1969.7142857142858,1911.4446294435452,1,2,2,3,8,1
CustomerId_1054,2153,52,3057.6923076923076,6112.9647232247835,4,4,3,2,13,0
CustomerId_1055,2230,5,1170.0,1338.6560424545207,1,2,2,3,8,1
CustomerId_1056,2203,4,1375.0,1108.6778913041726,1,2,2,3,8,1
CustomerId_1057,2238,2,2252.0,3886.258869401265,1,1,2,2,6,1
CustomerId_1058,2153,29,476.37931034482756,597.271917841752,4,4,1,3,12,0
CustomerId_1059,2160,9,4444.444444444444,6463.573143221772,3,3,3,2,11,0
CustomerId_1063,2150,12,1110.4166666666667,1608.6590383033788,4,3,2,3,12,0
CustomerId_1064,2154,42,4563.0952380952385,6424.71627468643,3,4,3,2,12,0
CustomerId_1068,2201,1,500.0,0.0,2,1,1,4,8,1
CustomerId_1070,2174,1,5000.0,0.0,2,1,4,4,11,0
CustomerId_1071,2150,7,33755.71428571428,57242.85162275515,4,2,4,1,11,0
CustomerId_1073,2220,1,1000.0,0.0,1,1,1,4,7,1
CustomerId_1074,2153,46,3641.304347826087,5656.405458001928,4,4,3,2,13,0
CustomerId_1078,2195,6,3166.6666666666665,7626.707459098367,2,2,3,1,8,1
CustomerId_1079,2193,1,20000.0,0.0,2,1,4,4,11,0
CustomerId_1080,2178,1,5000.0,0.0,2,1,4,4,11,0
CustomerId_1081,2162,2,750.0,353.5533905932738,3,1,1,4,9,0
CustomerId_1082,2195,5,3800.0,6685.805860178712,2,2,3,2,9,0
CustomerId_1083,2180,1,500.0,0.0,2,1,1,4,8,1
CustomerId_1084,2219,1,10000.0,0.0,1,1,4,4,10,0
CustomerId_1085,2206,4,725.0,1517.3990905493517,1,2,1,3,7,1
CustomerId_1086,2152,32,2424.25,4114.986567610265,4,4,2,2,12,0
CustomerId_1087,2181,9,4444.444444444444,6463.573143221772,2,3,3,2,10,0
CustomerId_1089,2185,152,1116.1282894736842,1695.0127365720368,2,4,2,3,11,0
CustomerId_1091,2173,2,1500.0,707.1067811865476,3,1,2,3,9,0
CustomerId_1092,2167,16,4062.5,5801.9393309478855,3,3,3,2,11,0
CustomerId_1093,2181,55,774.9090909090909,1912.920128366163,2,4,1,3,10,0
CustomerId_1094,2173,7,4637.142857142857,9189.939633979675,3,2,3,1,9,0
CustomerId_1095,2159,11,443.1818181818182,764.5334287239268,3,3,1,3,10,0
CustomerId_1096,2154,784,2486.2576530612246,17819.372756509856,3,4,2,1,10,0
CustomerId_1098,2151,1,20000.0,0.0,4,1,4,4,13,0
CustomerId_1099,2172,9,686.6666666666666,843.8601779915912,3,3,1,3,10,0
CustomerId_11,2232,1,-10000.0,0.0,1,1,1,4,7,1
CustomerId_1101,2200,9,6666.666666666667,5873.670062235366,2,3,4,2,11,0
CustomerId_1102,2153,14,4285.714285714285,6169.759644097497,4,3,3,2,12,0
CustomerId_1103,2196,1,30000.0,0.0,2,1,4,4,11,0
CustomerId_1104,2152,10,4000.0,9321.420969406376,4,3,3,1,11,0
CustomerId_1105,2175,1,500.0,0.0,2,1,1,4,8,1
CustomerId_1106,2235,1,10000.0,0.0,1,1,4,4,10,0
CustomerId_1108,2150,14,3571.4285714285716,8741.715073003834,4,3,3,1,11,0
CustomerId_1109,2195,8,4975.0,6193.718015630262,2,3,4,2,11,0
